2026-01-06 13:18:27.150 +00:00 [WRN] Failed to determine the https port for redirect.
2026-01-06 13:37:23.201 +00:00 [INF] HTTP GET /api/v1/Employee/1 responded 200 in 41.7067 ms
2026-01-06 13:37:30.739 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/logout responded 204 in 0.1838 ms
2026-01-06 13:37:30.765 +00:00 [INF] HTTP POST /api/v1/Auth/logout responded 200 in 21.0066 ms
2026-01-06 13:37:38.339 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.0800 ms
2026-01-06 13:37:38.437 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 94.2554 ms
2026-01-06 13:37:38.456 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0761 ms
2026-01-06 13:37:38.474 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.9089 ms
2026-01-06 13:37:38.491 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21815 responded 204 in 0.0717 ms
2026-01-06 13:37:38.505 +00:00 [INF] HTTP GET /api/v1/Employee/21815 responded 200 in 9.9808 ms
2026-01-06 13:37:42.042 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.9183 ms
2026-01-06 13:37:42.045 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.7381 ms
2026-01-06 13:37:42.048 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.6156 ms
2026-01-06 13:37:42.050 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.9484 ms
2026-01-06 13:37:42.081 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/1 responded 204 in 0.8380 ms
2026-01-06 13:37:42.095 +00:00 [INF] HTTP GET /api/v1/Employee/1 responded 200 in 9.1681 ms
2026-01-06 13:37:47.830 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/logout responded 204 in 0.0682 ms
2026-01-06 13:37:47.847 +00:00 [INF] HTTP POST /api/v1/Auth/logout responded 200 in 14.1925 ms
2026-01-06 13:37:54.371 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.0708 ms
2026-01-06 13:37:54.465 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 89.2643 ms
2026-01-06 13:37:54.510 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0728 ms
2026-01-06 13:37:54.515 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.5592 ms
2026-01-06 13:37:54.535 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.1331 ms
2026-01-06 13:37:54.547 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 6.0425 ms
2026-01-06 13:37:58.403 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.2302 ms
2026-01-06 13:37:58.406 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.0215 ms
2026-01-06 13:37:58.409 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.1570 ms
2026-01-06 13:37:58.412 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.5942 ms
2026-01-06 13:37:58.443 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 13.8450 ms
2026-01-06 13:38:05.445 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0764 ms
2026-01-06 13:38:05.453 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 2.6721 ms
2026-01-06 13:38:05.457 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8261 ms
2026-01-06 13:38:05.460 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.9628 ms
2026-01-06 13:38:05.465 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8664 ms
2026-01-06 13:38:05.486 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.1318 ms
2026-01-06 13:38:05.497 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 5.0000 ms
2026-01-06 13:39:24.685 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0678 ms
2026-01-06 13:39:24.739 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 51.7563 ms
2026-01-06 13:44:28.632 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0861 ms
2026-01-06 13:44:28.739 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 104.5324 ms
2026-01-06 13:44:37.600 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0421 ms
2026-01-06 13:44:37.602 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0220 ms
2026-01-06 13:44:37.608 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.5015 ms
